2:24:00 AM,1/3/1900,1.4,2,virginica
3:24:00 AM,1/4/1900,1.4,3,virginica
4:24:00 AM,1/5/1900,1.3,4,virginica
5:24:00 AM,1/6/1900,1.5,5,virginica
6:24:00 AM,1/7/1900,1.4,6,virginica
7:24:00 AM,1/8/1900,1.7,7,virginica
8:24:00 AM,1/9/1900,1.4,8,virginica
9:24:00 AM,1/10/1900,1.5,9,virginica
10:24:00 AM,1/11/1900,1.4,10,virginica
11:24:00 AM,1/12/1900,1.5,11,virginica
12:24:00 PM,1/13/1900,1.5,12,virginica
1:24:00 PM,1/14/1900,1.6,13,virginica
2:24:00 PM,1/15/1900,1.4,14,virginica
3:24:00 PM,1/16/1900,1.1,15,virginica
4:24:00 PM,1/17/1900,1.2,16,virginica
5:24:00 PM,1/18/1900,1.5,17,virginica
6:24:00 PM,1/19/1900,1.3,18,virginica
7:24:00 PM,1/20/1900,1.4,19,virginica
8:24:00 PM,1/21/1900,1.7,20,virginica
9:24:00 PM,1/22/1900,1.5,21,virginica
10:24:00 PM,1/23/1900,1.7,22,virginica
11:24:00 PM,1/24/1900,1.5,23,virginica
12:24:00 AM,1/25/1900,1,24,virginica
1:24:00 AM,1/26/1900,1.7,25,virginica
2:24:00 AM,1/27/1900,1.9,26,virginica
3:24:00 AM,1/28/1900,1.6,27,virginica
